activity_name,region,neighborhood,lifestyle,cost_mad,duration_hrs,type,difficulty,rating,time_of_day,seasonal_availability,latitude,longitude,description,id
Traditional Historic Site Exploration - Marrakesh,Marrakesh,Hivernage,explorer,219,3.2,culture,moderate,4.5,morning,summer_only,31.589794,-7.986391,Discover the best of Marrakesh during this unforgettable historic site exploration.,41
Traditional Museum Visit - Agadir,Agadir,Sonaba,explorer,285,2.3,culture,easy,3.5,morning,year_round,30.453832,-9.611855,A must-do museum visit for visitors to Agadir.,42
Traditional Guided City Walk - Essaouira,Essaouira,Medina,explorer,323,2.2,culture,moderate,4.5,morning,year_round,31.477304,-9.785927,Immerse yourself in the local Medina area with this culture experience.,43
Resort Day Pass Adventure - Beach District,Safi,Beach District,comfort_seeker,586,6.9,relaxation,easy,3.5,evening,year_round,32.321312,-9.276689,Explore the hidden gems of Beach District with this guided resort day pass.,44
Palmeraie Museum Visit,Marrakesh,Palmeraie,explorer,280,1.7,culture,easy,4.5,afternoon,year_round,31.633541,-7.991837,Experience the authentic flavors and culture of Marrakesh with this museum visit.,45
Exclusive Garden Tour & Tea in Agadir,Agadir,Talborjt,comfort_seeker,320,1.9,relaxation,easy,4.0,morning,year_round,30.38574,-9.601377,Discover the best of Agadir during this unforgettable garden tour & tea.,46
"Sunset Yacht Cruise in Medina, Essaouira",Essaouira,Medina,comfort_seeker,883,2.1,nature,easy,4.0,morning,year_round,31.502335,-9.732375,A must-do sunset yacht cruise for visitors to Essaouira.,47
"Cooking Class in Medina, Safi",Safi,Medina,food_lover,564,3.9,food,moderate,5.0,evening,year_round,32.334734,-9.276058,A must-do cooking class for visitors to Safi.,48
Exclusive Historic Site Exploration in Marrakesh,Marrakesh,Gueliz,explorer,231,3.5,culture,moderate,5.0,morning,year_round,31.598795,-7.999149,Experience the authentic flavors and culture of Marrakesh with this historic site exploration.,49
Sonaba Fine Dining Experience,Agadir,Sonaba,food_lover,526,2.7,food,easy,4.5,morning,spring_fall,30.453049,-9.579827,A must-do fine dining experience for visitors to Agadir.,50
Traditional Fine Dining Experience - Essaouira,Essaouira,Medina,food_lover,700,2.8,food,easy,4.0,morning,year_round,31.544211,-9.730203,A must-do fine dining experience for visitors to Essaouira.,51
Traditional Museum Visit - Safi,Safi,Nouvelle Ville,explorer,114,2.8,culture,easy,4.5,morning,year_round,32.301149,-9.27431,Immerse yourself in the local Nouvelle Ville area with this culture experience.,52
Authentic Sunset Yacht Cruise Experience in Marrakesh,Marrakesh,Gueliz,comfort_seeker,529,2.3,nature,easy,4.0,afternoon,year_round,31.597551,-7.995805,Explore the hidden gems of Gueliz with this guided sunset yacht cruise.,53
Traditional Cultural Monument Tour - Agadir,Agadir,City Center,explorer,177,1.3,culture,easy,5.0,afternoon,year_round,30.385082,-9.581282,Explore the hidden gems of City Center with this guided cultural monument tour.,54
Mountain Excursion Adventure - Medina,Essaouira,Medina,explorer,555,5.5,nature,hard,3.0,afternoon,year_round,31.530164,-9.731677,A must-do mountain excursion for visitors to Essaouira.,55
"Sunset Yacht Cruise in Port Area, Safi",Safi,Port Area,comfort_seeker,841,2.9,nature,easy,4.0,morning,year_round,32.340432,-9.2315,Discover the best of Safi during this unforgettable sunset yacht cruise.,56
Mellah Fine Dining Experience,Marrakesh,Mellah,food_lover,747,2.5,food,easy,3.5,evening,year_round,31.648417,-7.978601,A must-do fine dining experience for visitors to Marrakesh.,57
Unforgettable Beach Lounging in Agadir,Agadir,Talborjt,comfort_seeker,186,3.7,nature,easy,4.5,afternoon,year_round,30.465133,-9.559455,Immerse yourself in the local Talborjt area with this nature experience.,58
Authentic Artisan Workshop Visit Experience in Essaouira,Essaouira,Port,explorer,309,1.9,culture,easy,3.5,morning,year_round,31.552862,-9.730546,Immerse yourself in the local Port area with this culture experience.,59
Exclusive Spa Treatment in Safi,Safi,Chaâba,comfort_seeker,774,2.4,relaxation,easy,5.0,evening,year_round,32.28505,-9.237856,A must-do spa treatment for visitors to Safi.,60
Fine Dining Experience Adventure - Mellah,Marrakesh,Mellah,food_lover,763,2.4,food,easy,3.5,afternoon,year_round,31.632925,-7.959798,Explore the hidden gems of Mellah with this guided fine dining experience.,61
Exclusive Cultural Monument Tour in Agadir,Agadir,Sonaba,explorer,161,1.1,culture,easy,5.0,afternoon,winter_only,30.463729,-9.610784,Discover the best of Agadir during this unforgettable cultural monument tour.,62
Authentic Sunset Yacht Cruise Experience in Essaouira,Essaouira,Port,comfort_seeker,804,2.7,nature,easy,4.5,afternoon,year_round,31.493248,-9.790055,A must-do sunset yacht cruise for visitors to Essaouira.,63
Safi's Best Cultural Monument Tour,Safi,Medina,explorer,168,1.1,culture,easy,5.0,morning,year_round,32.271678,-9.242725,Discover the best of Safi during this unforgettable cultural monument tour.,64
Marrakesh Garden Tour & Tea Discovery,Marrakesh,Mellah,comfort_seeker,228,2.7,relaxation,easy,4.0,evening,summer_only,31.616297,-7.99444,Immerse yourself in the local Mellah area with this relaxation experience.,65
Authentic Sunset Yacht Cruise Experience in Agadir,Agadir,Talborjt,comfort_seeker,854,2.5,nature,easy,3.0,morning,year_round,30.448815,-9.611785,A must-do sunset yacht cruise for visitors to Agadir.,66
Authentic Traditional Dinner Show Experience in Essaouira,Essaouira,Beach,food_lover,544,3.8,food,easy,4.5,morning,year_round,31.473959,-9.738604,Experience the authentic flavors and culture of Essaouira with this traditional dinner show.,67
Nouvelle Ville Guided City Walk,Safi,Nouvelle Ville,explorer,269,2.7,culture,moderate,4.5,morning,year_round,32.285863,-9.241817,A must-do guided city walk for visitors to Safi.,68
Marrakesh Artisan Workshop Visit Discovery,Marrakesh,Mellah,explorer,386,1.5,culture,easy,4.5,morning,summer_only,31.606679,-7.970739,Discover the best of Marrakesh during this unforgettable artisan workshop visit.,69
Founty Beach Lounging,Agadir,Founty,comfort_seeker,110,4.9,nature,easy,5.0,morning,year_round,30.44376,-9.619348,Explore the hidden gems of Founty with this guided beach lounging.,70
Essaouira's Best Artisan Workshop Visit,Essaouira,Medina,explorer,238,2.0,culture,easy,4.5,afternoon,year_round,31.508907,-9.795877,A must-do artisan workshop visit for visitors to Essaouira.,71
Exclusive Traditional Dinner Show in Safi,Safi,Beach District,food_lover,410,4.0,food,easy,4.0,afternoon,year_round,32.322321,-9.194898,Explore the hidden gems of Beach District with this guided traditional dinner show.,72
"Fine Dining Experience in Hivernage, Marrakesh",Marrakesh,Hivernage,food_lover,572,2.8,food,easy,4.5,morning,year_round,31.645712,-8.008128,Experience the authentic flavors and culture of Marrakesh with this fine dining experience.,73
Exclusive Cooking Class in Agadir,Agadir,Sonaba,food_lover,467,4.0,food,moderate,3.5,evening,year_round,30.403708,-9.599906,Immerse yourself in the local Sonaba area with this food experience.,74
Unforgettable Food Market Exploration in Essaouira,Essaouira,Borj,food_lover,167,1.2,food,easy,4.5,afternoon,year_round,31.518262,-9.77422,A must-do food market exploration for visitors to Essaouira.,75
Unforgettable Food Market Exploration in Safi,Safi,Beach District,food_lover,130,1.8,food,easy,4.5,morning,year_round,32.27654,-9.205881,Experience the authentic flavors and culture of Safi with this food market exploration.,76
Traditional Beach Lounging - Marrakesh,Marrakesh,Mellah,comfort_seeker,184,2.4,nature,easy,4.0,afternoon,year_round,31.629579,-7.970767,Explore the hidden gems of Mellah with this guided beach lounging.,77
Historic Site Exploration Adventure - Sonaba,Agadir,Sonaba,explorer,163,2.2,culture,moderate,3.0,morning,winter_only,30.427455,-9.622275,Discover the best of Agadir during this unforgettable historic site exploration.,78
"Resort Day Pass in Beach, Essaouira",Essaouira,Beach,comfort_seeker,558,4.4,relaxation,easy,4.0,morning,year_round,31.50551,-9.802673,Discover the best of Essaouira during this unforgettable resort day pass.,79
Port Area Cooking Class,Safi,Port Area,food_lover,486,3.2,food,moderate,4.5,morning,year_round,32.271327,-9.207258,Immerse yourself in the local Port Area area with this food experience.,80
Hivernage Resort Day Pass,Marrakesh,Hivernage,comfort_seeker,661,7.6,relaxation,easy,4.0,morning,summer_only,31.616156,-7.983061,Explore the hidden gems of Hivernage with this guided resort day pass.,81
Authentic Spa Treatment Experience in Agadir,Agadir,Sonaba,comfort_seeker,443,2.9,relaxation,easy,4.0,evening,year_round,30.423548,-9.556435,Immerse yourself in the local Sonaba area with this relaxation experience.,82
Traditional Traditional Dinner Show - Essaouira,Essaouira,Mellah,food_lover,409,3.5,food,easy,5.0,afternoon,year_round,31.480478,-9.78836,Experience the authentic flavors and culture of Essaouira with this traditional dinner show.,83
Authentic Traditional Hammam Experience in Safi,Safi,Port Area,comfort_seeker,473,2.0,relaxation,easy,4.0,afternoon,spring_fall,32.279325,-9.240667,Explore the hidden gems of Port Area with this guided traditional hammam.,84
Traditional Garden Tour & Tea - Marrakesh,Marrakesh,Mellah,comfort_seeker,335,2.0,relaxation,easy,4.0,afternoon,summer_only,31.668115,-7.995661,Experience the authentic flavors and culture of Marrakesh with this garden tour & tea.,85
Museum Visit Adventure - Marina Bay,Agadir,Marina Bay,explorer,149,3.0,culture,easy,3.5,morning,year_round,30.404815,-9.562544,Explore the hidden gems of Marina Bay with this guided museum visit.,86
Essaouira's Best Cooking Class,Essaouira,Mellah,food_lover,644,4.0,food,moderate,3.5,afternoon,year_round,31.533708,-9.741441,Discover the best of Essaouira during this unforgettable cooking class.,87
Historic Site Exploration Adventure - Beach District,Safi,Beach District,explorer,358,3.4,culture,moderate,3.5,afternoon,summer_only,32.290888,-9.274521,A must-do historic site exploration for visitors to Safi.,88
Authentic Artisan Workshop Visit Experience in Marrakesh,Marrakesh,Hivernage,explorer,412,2.9,culture,easy,3.5,afternoon,year_round,31.611257,-7.941608,Experience the authentic flavors and culture of Marrakesh with this artisan workshop visit.,89
Authentic Sunset Yacht Cruise Experience in Agadir,Agadir,Marina Bay,comfort_seeker,762,2.1,nature,easy,4.5,afternoon,year_round,30.397011,-9.562847,Immerse yourself in the local Marina Bay area with this nature experience.,90
Essaouira's Best Cooking Class,Essaouira,Port,food_lover,547,2.7,food,moderate,4.0,afternoon,spring_fall,31.537435,-9.715301,Explore the hidden gems of Port with this guided cooking class.,91
Exclusive Museum Visit in Safi,Safi,Nouvelle Ville,explorer,282,2.8,culture,easy,3.5,afternoon,summer_only,32.264224,-9.227194,Experience the authentic flavors and culture of Safi with this museum visit.,92
Sunset Yacht Cruise Adventure - Mellah,Marrakesh,Mellah,comfort_seeker,821,2.6,nature,easy,3.5,morning,year_round,31.610733,-7.97763,Experience the authentic flavors and culture of Marrakesh with this sunset yacht cruise.,93
"Mountain Excursion in Founty, Agadir",Agadir,Founty,explorer,534,4.7,nature,hard,4.0,afternoon,spring_fall,30.411162,-9.642373,Immerse yourself in the local Founty area with this nature experience.,94
Medina Cultural Monument Tour,Essaouira,Medina,explorer,159,1.1,culture,easy,4.5,afternoon,year_round,31.497654,-9.766885,Experience the authentic flavors and culture of Essaouira with this cultural monument tour.,95
Traditional Hammam Adventure - Nouvelle Ville,Safi,Nouvelle Ville,comfort_seeker,399,1.9,relaxation,easy,4.0,afternoon,year_round,32.343319,-9.209852,A must-do traditional hammam for visitors to Safi.,96
"Guided City Walk in Palmeraie, Marrakesh",Marrakesh,Palmeraie,explorer,343,2.9,culture,moderate,3.0,afternoon,summer_only,31.616548,-8.009484,A must-do guided city walk for visitors to Marrakesh.,97
Agadir's Best Mountain Excursion,Agadir,Talborjt,explorer,698,4.8,nature,hard,4.0,morning,spring_fall,30.405323,-9.602648,Experience the authentic flavors and culture of Agadir with this mountain excursion.,98
"Cultural Monument Tour in Mellah, Essaouira",Essaouira,Mellah,explorer,183,1.8,culture,easy,3.0,afternoon,year_round,31.506054,-9.721862,Discover the best of Essaouira during this unforgettable cultural monument tour.,99
Traditional Mountain Excursion - Safi,Safi,Chaâba,explorer,674,7.3,nature,hard,4.5,afternoon,year_round,32.294602,-9.221866,Experience the authentic flavors and culture of Safi with this mountain excursion.,100
"Mountain Excursion in Palmeraie, Marrakesh",Marrakesh,Palmeraie,explorer,524,7.2,nature,hard,4.0,morning,winter_only,31.596517,-7.972002,Discover the best of Marrakesh during this unforgettable mountain excursion.,101
Founty Food Market Exploration,Agadir,Founty,food_lover,166,1.4,food,easy,4.5,morning,year_round,30.440893,-9.56652,Discover the best of Agadir during this unforgettable food market exploration.,102
Essaouira Sunset Yacht Cruise Discovery,Essaouira,Beach,comfort_seeker,711,2.7,nature,easy,5.0,afternoon,winter_only,31.507482,-9.747104,Immerse yourself in the local Beach area with this nature experience.,103
"Fine Dining Experience in Port Area, Safi",Safi,Port Area,food_lover,720,2.9,food,easy,4.5,afternoon,year_round,32.321579,-9.205787,Explore the hidden gems of Port Area with this guided fine dining experience.,104
Exclusive Street Food Tour in Marrakesh,Marrakesh,Mellah,food_lover,266,2.1,food,easy,3.0,evening,winter_only,31.645737,-7.997411,Discover the best of Marrakesh during this unforgettable street food tour.,105
Agadir Artisan Workshop Visit Discovery,Agadir,Marina Bay,explorer,385,1.6,culture,easy,4.0,morning,year_round,30.391668,-9.624992,Immerse yourself in the local Marina Bay area with this culture experience.,106
Borj Cultural Monument Tour,Essaouira,Borj,explorer,156,2.0,culture,easy,4.0,afternoon,year_round,31.497873,-9.738456,A must-do cultural monument tour for visitors to Essaouira.,107
Safi's Best Artisan Workshop Visit,Safi,Port Area,explorer,206,2.5,culture,easy,4.0,morning,year_round,32.299934,-9.281823,Discover the best of Safi during this unforgettable artisan workshop visit.,108
Exclusive Mountain Excursion in Marrakesh,Marrakesh,Mellah,explorer,382,6.9,nature,hard,5.0,afternoon,year_round,31.58791,-7.93828,Immerse yourself in the local Mellah area with this nature experience.,109
City Center Traditional Dinner Show,Agadir,City Center,food_lover,588,3.3,food,easy,5.0,morning,year_round,30.384339,-9.609908,A must-do traditional dinner show for visitors to Agadir.,110
Essaouira Sunset Yacht Cruise Discovery,Essaouira,Beach,comfort_seeker,796,2.4,nature,easy,3.5,afternoon,year_round,31.537943,-9.782215,Immerse yourself in the local Beach area with this nature experience.,111
Traditional Artisan Workshop Visit - Safi,Safi,Port Area,explorer,319,2.9,culture,easy,4.0,morning,summer_only,32.29094,-9.226295,Discover the best of Safi during this unforgettable artisan workshop visit.,112
Traditional Guided City Walk - Marrakesh,Marrakesh,Medina,explorer,307,3.2,culture,moderate,4.5,morning,spring_fall,31.607465,-8.015416,Immerse yourself in the local Medina area with this culture experience.,113
Marina Bay Guided City Walk,Agadir,Marina Bay,explorer,257,3.3,culture,moderate,4.0,morning,year_round,30.436553,-9.619424,Explore the hidden gems of Marina Bay with this guided guided city walk.,114
Guided City Walk Adventure - Port,Essaouira,Port,explorer,350,2.2,culture,moderate,3.0,afternoon,year_round,31.519511,-9.731711,Explore the hidden gems of Port with this guided guided city walk.,115
Beach Lounging Adventure - Medina,Safi,Medina,comfort_seeker,186,2.8,nature,easy,4.0,afternoon,year_round,32.283971,-9.198016,Explore the hidden gems of Medina with this guided beach lounging.,116
Traditional Historic Site Exploration - Marrakesh,Marrakesh,Gueliz,explorer,175,3.4,culture,moderate,4.0,morning,year_round,31.586199,-8.002203,A must-do historic site exploration for visitors to Marrakesh.,117
"Cultural Monument Tour in Marina Bay, Agadir",Agadir,Marina Bay,explorer,217,1.3,culture,easy,5.0,afternoon,spring_fall,30.441047,-9.604162,Explore the hidden gems of Marina Bay with this guided cultural monument tour.,118
Essaouira's Best Street Food Tour,Essaouira,Medina,food_lover,185,2.2,food,easy,4.5,morning,spring_fall,31.48549,-9.757202,Discover the best of Essaouira during this unforgettable street food tour.,119
Safi's Best Museum Visit,Safi,Port Area,explorer,255,1.5,culture,easy,4.0,morning,year_round,32.312681,-9.236333,Explore the hidden gems of Port Area with this guided museum visit.,120
Marrakesh's Best Resort Day Pass,Marrakesh,Hivernage,comfort_seeker,542,5.5,relaxation,easy,3.0,afternoon,year_round,31.653262,-7.989748,A must-do resort day pass for visitors to Marrakesh.,121
Exclusive Resort Day Pass in Agadir,Agadir,Sonaba,comfort_seeker,557,7.2,relaxation,easy,3.5,morning,year_round,30.382931,-9.616938,Discover the best of Agadir during this unforgettable resort day pass.,122
"Fine Dining Experience in Borj, Essaouira",Essaouira,Borj,food_lover,788,2.5,food,easy,3.5,afternoon,year_round,31.510042,-9.775507,Experience the authentic flavors and culture of Essaouira with this fine dining experience.,123
Traditional Spa Treatment - Safi,Safi,Chaâba,comfort_seeker,434,2.5,relaxation,easy,4.5,afternoon,year_round,32.30981,-9.255856,Discover the best of Safi during this unforgettable spa treatment.,124
Marrakesh's Best Fine Dining Experience,Marrakesh,Hivernage,food_lover,771,2.6,food,easy,3.5,afternoon,year_round,31.639704,-7.969742,Discover the best of Marrakesh during this unforgettable fine dining experience.,125
Exclusive Beach Lounging in Agadir,Agadir,Marina Bay,comfort_seeker,103,2.4,nature,easy,3.5,afternoon,winter_only,30.441524,-9.581714,Experience the authentic flavors and culture of Agadir with this beach lounging.,126
Medina Fine Dining Experience,Essaouira,Medina,food_lover,522,2.5,food,easy,4.5,evening,year_round,31.545902,-9.725906,Experience the authentic flavors and culture of Essaouira with this fine dining experience.,127
Safi's Best Guided City Walk,Safi,Beach District,explorer,289,2.6,culture,moderate,4.5,morning,spring_fall,32.325562,-9.227167,Discover the best of Safi during this unforgettable guided city walk.,128
Artisan Workshop Visit Adventure - Hivernage,Marrakesh,Hivernage,explorer,224,2.5,culture,easy,4.5,morning,year_round,31.62321,-7.961876,A must-do artisan workshop visit for visitors to Marrakesh.,129
Exclusive Cooking Class in Agadir,Agadir,Marina Bay,food_lover,595,3.1,food,moderate,3.5,evening,year_round,30.42728,-9.584935,Immerse yourself in the local Marina Bay area with this food experience.,130
Fine Dining Experience Adventure - Beach,Essaouira,Beach,food_lover,543,2.0,food,easy,4.0,afternoon,year_round,31.50328,-9.755191,Explore the hidden gems of Beach with this guided fine dining experience.,131
Safi Traditional Hammam Discovery,Safi,Chaâba,comfort_seeker,348,1.4,relaxation,easy,3.5,afternoon,year_round,32.316477,-9.24575,Explore the hidden gems of Chaâba with this guided traditional hammam.,132
"Sunset Yacht Cruise in Medina, Marrakesh",Marrakesh,Medina,comfort_seeker,753,2.0,nature,easy,3.5,morning,year_round,31.63359,-7.967029,A must-do sunset yacht cruise for visitors to Marrakesh.,133
Agadir Food Market Exploration Discovery,Agadir,Marina Bay,food_lover,133,1.1,food,easy,3.5,afternoon,year_round,30.43665,-9.591652,A must-do food market exploration for visitors to Agadir.,134
Essaouira Food Market Exploration Discovery,Essaouira,Mellah,food_lover,152,1.1,food,easy,4.5,afternoon,year_round,31.471184,-9.778867,Explore the hidden gems of Mellah with this guided food market exploration.,135
Authentic Historic Site Exploration Experience in Safi,Safi,Chaâba,explorer,199,2.7,culture,moderate,4.0,morning,summer_only,32.279121,-9.211094,Experience the authentic flavors and culture of Safi with this historic site exploration.,136
Authentic Spa Treatment Experience in Marrakesh,Marrakesh,Hivernage,comfort_seeker,447,1.7,relaxation,easy,5.0,afternoon,year_round,31.662999,-8.014546,A must-do spa treatment for visitors to Marrakesh.,137
Unforgettable Artisan Workshop Visit in Agadir,Agadir,Sonaba,explorer,428,2.4,culture,easy,3.5,afternoon,year_round,30.466632,-9.608024,Explore the hidden gems of Sonaba with this guided artisan workshop visit.,138
Unforgettable Garden Tour & Tea in Essaouira,Essaouira,Borj,comfort_seeker,227,1.9,relaxation,easy,4.0,evening,year_round,31.535046,-9.791808,A must-do garden tour & tea for visitors to Essaouira.,139
Authentic Fine Dining Experience Experience in Safi,Safi,Port Area,food_lover,731,2.4,food,easy,3.5,evening,year_round,32.31823,-9.228237,Immerse yourself in the local Port Area area with this food experience.,140
Museum Visit Adventure - Gueliz,Marrakesh,Gueliz,explorer,148,1.8,culture,easy,4.5,afternoon,spring_fall,31.673051,-7.992763,Discover the best of Marrakesh during this unforgettable museum visit.,141
